                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.3772,                0.31922,                  1.013,                 0.9975,                0.99554,                  0.995,                0.98816,                0.25938,                0.24826,                0.94775,               0.000614,               0.000614,               0.000614
                     37,                0.37127,                 0.3194,                 1.0059,                0.99958,                0.99625,                  0.995,                0.98596,                0.26253,                0.24523,                 0.9553,              0.0005744,              0.0005744,              0.0005744
                     38,                0.36606,                0.31047,                0.99559,                0.99859,                0.99625,                  0.995,                0.98479,                0.27562,                0.24692,                0.94614,              0.0005348,              0.0005348,              0.0005348
                     39,                0.36386,                0.30285,                0.99421,                      1,                0.99455,                  0.995,                0.98733,                 0.2526,                0.23798,                0.94561,              0.0004952,              0.0004952,              0.0004952
                     40,                0.36256,                0.30467,                0.99844,                0.99875,                0.99685,                  0.995,                0.98803,                0.24026,                0.22638,                0.93446,              0.0004556,              0.0004556,              0.0004556
                     41,                0.28662,                0.26584,                0.91076,                0.99878,                0.99501,                  0.995,                0.98228,                0.27392,                0.24617,                 0.9508,               0.000416,               0.000416,               0.000416
                     42,                0.28162,                0.25514,                0.92201,                0.99627,                0.99963,                  0.995,                  0.986,                 0.2451,                0.23318,                0.93142,              0.0003764,              0.0003764,              0.0003764
                     43,                0.27655,                0.25144,                0.91018,                0.99678,                0.99875,                  0.995,                0.98593,                0.23133,                0.22973,                0.92092,              0.0003368,              0.0003368,              0.0003368
                     44,                0.26218,                0.24108,                0.91252,                 0.9975,                0.99599,                  0.995,                0.98938,                0.21228,                0.21043,                0.90666,              0.0002972,              0.0002972,              0.0002972
                     45,                0.24703,                0.23266,                 0.8974,                0.99875,                0.99724,                  0.995,                0.98831,                0.20915,                0.21376,                0.90691,              0.0002576,              0.0002576,              0.0002576
                     46,                0.23612,                0.22612,                0.89215,                0.99751,                0.99869,                  0.995,                0.98808,                 0.2297,                0.22136,                 0.9212,               0.000218,               0.000218,               0.000218
                     47,                0.23761,                0.22543,                0.89656,                0.99942,                 0.9975,                  0.995,                0.99031,                0.21973,                0.20962,                0.90886,              0.0001784,              0.0001784,              0.0001784
                     48,                0.22972,                0.22029,                0.88065,                0.99825,                 0.9975,                  0.995,                0.99245,                0.20534,                0.20005,                0.90591,              0.0001388,              0.0001388,              0.0001388
                     49,                0.20954,                0.20817,                0.86684,                      1,                0.99745,                  0.995,                0.99113,                 0.2009,                0.19721,                0.89883,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.22174,                0.21223,                0.87074,                      1,                0.99871,                  0.995,                0.99249,                0.18638,                 0.1896,                0.89527,               5.96e-05,               5.96e-05,               5.96e-05
