                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9567,                 3.8041,                 4.1518,                0.00262,                0.50599,                0.00516,                0.00189,                 2.4122,                 3.9288,                 4.1643,             0.00065079,             0.00065079,             0.00065079
                      2,                 2.6857,                 3.2532,                 3.4808,                0.00301,                0.20506,                0.00237,                0.00068,                 2.4269,                 4.1017,                  4.278,              0.0012914,              0.0012914,              0.0012914
                      3,                 2.3562,                  2.475,                 2.9031,                0.35189,                0.23435,                 0.2057,                0.08629,                 2.2926,                 4.2237,                 2.9104,              0.0019056,              0.0019056,              0.0019056
                      4,                 1.9108,                 1.8145,                 2.4076,                0.78399,                0.74035,                0.83511,                0.51954,                 1.5589,                 3.9978,                 2.4826,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5758,                 1.5474,                 2.1063,                0.79318,                0.79667,                0.85772,                0.61327,                 1.2928,                 2.4043,                 1.9815,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.3206,                 1.2493,                 1.8248,                0.84422,                0.82983,                  0.925,                0.72964,                 1.0319,                 1.3545,                 1.5335,               0.001802,               0.001802,               0.001802
                      7,                 1.1385,                 1.0945,                 1.6356,                0.90905,                0.92011,                0.95757,                0.78465,                0.90496,                 1.6101,                 1.4138,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.0231,                0.95624,                 1.5315,                0.94571,                 0.9494,                0.98262,                0.78864,                0.92275,                 0.9253,                 1.3706,              0.0017228,              0.0017228,              0.0017228
                      9,                0.94171,                 0.8658,                 1.4503,                0.93154,                0.88777,                0.97504,                0.82843,                 0.8532,                 0.8862,                 1.3475,              0.0016832,              0.0016832,              0.0016832
                     10,                0.90947,                0.82855,                  1.415,                0.97221,                0.99068,                0.99201,                0.85605,                0.73253,                0.68786,                 1.2251,              0.0016436,              0.0016436,              0.0016436
                     11,                0.84392,                0.76176,                 1.3619,                0.96554,                0.97001,                0.99063,                 0.8886,                 0.6052,                0.61499,                  1.154,               0.001604,               0.001604,               0.001604
                     12,                0.77587,                0.68723,                 1.2947,                0.96873,                0.98996,                0.99271,                0.88333,                0.59076,                0.57623,                  1.121,              0.0015644,              0.0015644,              0.0015644
                     13,                 0.7504,                0.67291,                 1.2758,                0.98423,                 0.9974,                0.99381,                0.90031,                0.56322,                0.52439,                 1.0558,              0.0015248,              0.0015248,              0.0015248
                     14,                0.71839,                0.62943,                  1.244,                0.98388,                      1,                0.99366,                0.91073,                0.55145,                0.49451,                 1.0679,              0.0014852,              0.0014852,              0.0014852
