                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9567,                 3.8041,                 4.1518,                0.00262,                0.50599,                0.00516,                0.00189,                 2.4122,                 3.9288,                 4.1643,             0.00065079,             0.00065079,             0.00065079
                      2,                 2.6837,                 3.2435,                 3.4809,                0.00283,                0.17577,                0.00313,                0.00083,                  2.432,                 4.1202,                 4.2552,              0.0013044,              0.0013044,              0.0013044
                      3,                 2.3697,                 2.4634,                 2.8815,                0.48093,                0.37284,                 0.3697,                0.21962,                      2,                 2.9618,                  2.874,              0.0019448,              0.0019448,              0.0019448
                      4,                  1.929,                 1.8088,                 2.3911,                0.79025,                0.75899,                0.81168,                0.54747,                 1.4872,                  1.879,                 2.2814,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6456,                 1.5524,                 2.1317,                0.87623,                0.83222,                0.89834,                0.69155,                  1.188,                 1.8673,                 1.9326,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3924,                 1.2724,                 1.8463,                 0.8506,                0.80027,                0.91567,                0.69858,                 1.1083,                 1.1385,                  1.627,               0.001901,               0.001901,               0.001901
                      7,                 1.1726,                 1.0874,                 1.6579,                 0.8834,                 0.8676,                0.96038,                0.76265,                0.97146,                 1.0196,                 1.5691,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0893,                0.98591,                 1.5823,                0.98625,                0.84421,                0.97082,                0.79476,                0.93152,                 0.9084,                 1.4297,              0.0018614,              0.0018614,              0.0018614
                      9,                0.94885,                0.86916,                 1.4589,                0.93753,                0.95916,                0.98658,                 0.8302,                0.82329,                0.89246,                 1.3703,              0.0018416,              0.0018416,              0.0018416
                     10,                0.92291,                0.81327,                 1.4241,                0.95035,                  0.943,                0.98671,                  0.825,                0.80484,                0.90581,                 1.3896,              0.0018218,              0.0018218,              0.0018218
                     11,                0.86691,                0.76951,                 1.3787,                0.96228,                0.96671,                0.99053,                0.84105,                0.77062,                0.64557,                  1.348,               0.001802,               0.001802,               0.001802
                     12,                0.81606,                0.68955,                 1.3216,                0.96392,                0.99593,                0.98993,                0.87759,                0.60974,                0.56076,                 1.1994,              0.0017822,              0.0017822,              0.0017822
                     13,                0.76611,                0.64891,                 1.2873,                0.95897,                0.98003,                0.99162,                0.87525,                0.61736,                0.55919,                 1.1653,              0.0017624,              0.0017624,              0.0017624
                     14,                0.75071,                0.64831,                 1.2665,                0.97608,                0.97784,                0.99187,                 0.9009,                0.59733,                0.54085,                 1.1339,              0.0017426,              0.0017426,              0.0017426
                     15,                0.74039,                0.61751,                 1.2559,                0.98222,                0.99467,                0.99282,                0.87303,                0.61963,                0.52786,                 1.1219,              0.0017228,              0.0017228,              0.0017228
                     16,                0.68661,                0.56691,                 1.2177,                0.98539,                0.98807,                 0.9941,                0.90661,                0.56737,                0.51347,                 1.0596,               0.001703,               0.001703,               0.001703
                     17,                0.70863,                0.58065,                 1.2246,                0.96493,                0.98003,                0.99145,                0.92032,                0.47756,                0.48094,                 1.0332,              0.0016832,              0.0016832,              0.0016832
                     18,                0.65618,                0.54541,                 1.1892,                0.98031,                      1,                0.99336,                0.92151,                0.50381,                0.45414,                  1.009,              0.0016634,              0.0016634,              0.0016634
                     19,                 0.5902,                0.50908,                 1.1314,                0.98911,                0.99201,                0.99376,                0.93841,                0.42562,                 0.4353,                0.98054,              0.0016436,              0.0016436,              0.0016436
                     20,                0.61646,                0.51827,                 1.1492,                0.98685,                0.99911,                 0.9934,                0.93167,                0.47391,                0.44638,                 1.0112,              0.0016238,              0.0016238,              0.0016238
                     21,                 0.6053,                0.50241,                 1.1339,                0.99147,                0.99467,                 0.9934,                0.94303,                0.43051,                0.39364,                0.98014,               0.001604,               0.001604,               0.001604
                     22,                0.58143,                0.47943,                 1.1185,                0.96134,                0.99331,                0.99312,                0.91709,                0.46687,                0.52798,                0.97585,              0.0015842,              0.0015842,              0.0015842
                     23,                0.60898,                0.48765,                 1.1424,                0.99733,                0.99456,                0.99432,                0.93718,                 0.4269,                 0.3984,                0.96103,              0.0015644,              0.0015644,              0.0015644
                     24,                0.56286,                0.46461,                 1.1087,                0.99594,                0.99201,                0.99455,                0.95738,                0.39692,                0.36017,                0.95595,              0.0015446,              0.0015446,              0.0015446
                     25,                0.55555,                0.45357,                 1.1057,                0.99701,                0.99867,                0.99478,                0.95319,                0.40162,                 0.3595,                0.94952,              0.0015248,              0.0015248,              0.0015248
                     26,                0.55692,                0.45845,                  1.104,                0.99734,                0.99931,                0.99346,                0.94685,                0.39407,                0.35817,                0.95188,               0.001505,               0.001505,               0.001505
                     27,                0.54409,                0.44327,                 1.0905,                0.99205,                0.99695,                0.99395,                0.95569,                0.38017,                0.35658,                0.94854,              0.0014852,              0.0014852,              0.0014852
                     28,                0.50316,                0.43072,                 1.0653,                0.99734,                0.99717,                0.99469,                0.97095,                0.36109,                0.35607,                0.93389,              0.0014654,              0.0014654,              0.0014654
                     29,                0.52856,                0.43324,                 1.0855,                0.99725,                      1,                 0.9939,                0.96317,                0.37286,                0.34409,                0.92952,              0.0014456,              0.0014456,              0.0014456
                     30,                0.52525,                0.43084,                 1.0813,                0.99421,                0.99734,                 0.9942,                0.95407,                0.39015,                0.34121,                 0.9381,              0.0014258,              0.0014258,              0.0014258
                     31,                0.50515,                 0.4221,                 1.0666,                0.99734,                0.99997,                 0.9947,                0.96841,                0.34288,                0.33067,                 0.9093,               0.001406,               0.001406,               0.001406
                     32,                0.50729,                0.42936,                 1.0679,                0.99734,                0.99973,                0.99387,                0.96998,                 0.3393,                0.32585,                0.90872,              0.0013862,              0.0013862,              0.0013862
                     33,                0.49621,                0.39984,                  1.047,                0.99731,                      1,                0.99453,                 0.9619,                0.37189,                0.31163,                0.90716,              0.0013664,              0.0013664,              0.0013664
                     34,                0.48634,                0.39534,                 1.0404,                0.99734,                0.99988,                0.99434,                0.96491,                0.37364,                0.31859,                0.92351,              0.0013466,              0.0013466,              0.0013466
                     35,                0.49105,                0.39645,                 1.0486,                0.99029,                0.99867,                0.99417,                0.96534,                0.33729,                0.33055,                0.92441,              0.0013268,              0.0013268,              0.0013268
                     36,                0.47997,                0.38435,                 1.0474,                0.99711,                      1,                0.99476,                0.97298,                0.32695,                0.30837,                  0.901,               0.001307,               0.001307,               0.001307
                     37,                0.44817,                0.37483,                 1.0282,                0.99719,                      1,                0.99471,                0.97185,                0.34679,                0.30948,                0.91388,              0.0012872,              0.0012872,              0.0012872
                     38,                0.48109,                0.39059,                 1.0512,                0.99665,                      1,                0.99438,                0.97783,                0.33325,                0.30222,                0.90441,              0.0012674,              0.0012674,              0.0012674
                     39,                0.46307,                0.37684,                 1.0313,                 0.9972,                      1,                0.99413,                0.96124,                  0.381,                0.30338,                0.91482,              0.0012476,              0.0012476,              0.0012476
                     40,                0.47058,                0.37739,                 1.0444,                0.99721,                      1,                0.99426,                0.97921,                0.32681,                0.30104,                0.90118,              0.0012278,              0.0012278,              0.0012278
                     41,                0.46102,                0.37629,                 1.0349,                0.99724,                      1,                0.99461,                0.97767,                0.31803,                 0.2749,                0.88841,               0.001208,               0.001208,               0.001208
                     42,                0.43077,                0.35467,                 1.0093,                0.99695,                0.99867,                0.99404,                0.98031,                0.30839,                0.28735,                 0.8968,              0.0011882,              0.0011882,              0.0011882
                     43,                0.43582,                0.36528,                  1.026,                0.99722,                      1,                0.99399,                 0.9791,                0.28502,                0.27437,                0.87199,              0.0011684,              0.0011684,              0.0011684
                     44,                0.44814,                0.36379,                 1.0162,                0.99716,                      1,                 0.9945,                0.98034,                0.29596,                0.27992,                0.86407,              0.0011486,              0.0011486,              0.0011486
                     45,                0.43107,                0.35742,                 1.0202,                0.99666,                      1,                0.99471,                0.96613,                0.34388,                0.29209,                0.88535,              0.0011288,              0.0011288,              0.0011288
                     46,                0.42722,                 0.3571,                 1.0164,                0.99724,                      1,                0.99476,                0.97774,                0.28871,                0.28082,                  0.877,               0.001109,               0.001109,               0.001109
                     47,                0.41353,                0.34276,                 1.0035,                0.99724,                      1,                0.99467,                0.97967,                0.28906,                0.26901,                0.87068,              0.0010892,              0.0010892,              0.0010892
                     48,                0.41435,                0.34877,                 1.0033,                 0.9972,                      1,                0.99406,                0.98291,                0.27631,                0.27183,                 0.8685,              0.0010694,              0.0010694,              0.0010694
                     49,                0.41135,                0.34031,                0.99371,                0.99719,                      1,                0.99427,                0.97732,                0.29459,                0.26723,                0.87137,              0.0010496,              0.0010496,              0.0010496
                     50,                0.40106,                0.33566,                0.99886,                0.99723,                      1,                0.99467,                0.98459,                0.27811,                0.25954,                0.88064,              0.0010298,              0.0010298,              0.0010298
                     51,                0.41345,                0.34147,                 1.0088,                0.99716,                      1,                0.99466,                0.98444,                0.27218,                0.25261,                0.86836,                0.00101,                0.00101,                0.00101
                     52,                0.38396,                0.31687,                0.98315,                0.99722,                      1,                0.99465,                0.98329,                0.28268,                0.26118,                0.86714,              0.0009902,              0.0009902,              0.0009902
                     53,                0.39714,                0.33455,                0.99052,                0.99724,                      1,                0.99432,                0.98453,                0.27848,                0.27389,                0.86576,              0.0009704,              0.0009704,              0.0009704
                     54,                0.39762,                0.32693,                 1.0015,                0.99722,                      1,                0.99454,                0.98333,                0.26317,                0.25328,                0.85821,              0.0009506,              0.0009506,              0.0009506
                     55,                0.39172,                 0.3213,                0.99122,                0.99722,                      1,                0.99474,                 0.9809,                 0.2633,                0.24684,                0.86726,              0.0009308,              0.0009308,              0.0009308
                     56,                0.41128,                0.33909,                0.99871,                0.99708,                      1,                0.99457,                0.98838,                0.27354,                0.26227,                0.86609,               0.000911,               0.000911,               0.000911
                     57,                0.40032,                0.32375,                0.98985,                0.99692,                      1,                0.99406,                0.98441,                0.26237,                0.25109,                0.86801,              0.0008912,              0.0008912,              0.0008912
                     58,                0.39219,                0.31998,                0.99671,                0.99726,                      1,                0.99474,                0.98739,                0.25227,                0.23283,                0.85548,              0.0008714,              0.0008714,              0.0008714
                     59,                0.38138,                0.31067,                0.98573,                0.99723,                      1,                0.99471,                0.98757,                0.24581,                0.23574,                0.85574,              0.0008516,              0.0008516,              0.0008516
                     60,                0.39112,                0.31547,                0.98535,                0.99721,                      1,                0.99474,                0.98349,                0.26293,                0.24211,                0.85966,              0.0008318,              0.0008318,              0.0008318
                     61,                0.37922,                0.31533,                0.98753,                0.99724,                      1,                0.99473,                0.98867,                0.24683,                0.23413,                0.84443,               0.000812,               0.000812,               0.000812
                     62,                0.36317,                0.30064,                0.97028,                0.99725,                      1,                0.99464,                0.98978,                0.22299,                0.22683,                0.85159,              0.0007922,              0.0007922,              0.0007922
                     63,                0.37031,                0.30675,                0.98345,                0.99679,                      1,                0.99427,                0.98766,                0.26544,                0.24184,                0.86778,              0.0007724,              0.0007724,              0.0007724
                     64,                0.36444,                0.30088,                 0.9728,                0.99718,                      1,                0.99474,                 0.9876,                0.25039,                0.23931,                 0.8542,              0.0007526,              0.0007526,              0.0007526
                     65,                0.35918,                 0.2975,                0.96934,                0.99667,                      1,                 0.9947,                0.98978,                0.22179,                0.22536,                0.83864,              0.0007328,              0.0007328,              0.0007328
                     66,                0.35613,                0.30023,                0.97932,                0.99723,                      1,                0.99397,                0.98724,                0.23052,                0.22216,                0.84286,               0.000713,               0.000713,               0.000713
                     67,                0.35549,                0.29299,                0.95819,                0.99718,                      1,                0.99386,                0.98695,                0.22951,                0.22334,                 0.8401,              0.0006932,              0.0006932,              0.0006932
                     68,                0.35029,                0.29052,                0.97629,                0.99724,                      1,                0.99461,                0.98884,                0.23206,                0.21632,                0.83957,              0.0006734,              0.0006734,              0.0006734
                     69,                0.33855,                0.28651,                0.96605,                0.99723,                      1,                0.99467,                0.98928,                0.22902,                0.22173,                0.84542,              0.0006536,              0.0006536,              0.0006536
                     70,                0.35037,                0.28932,                0.95953,                0.99683,                      1,                0.99459,                0.98749,                0.23717,                0.22772,                0.83954,              0.0006338,              0.0006338,              0.0006338
                     71,                 0.3388,                0.29555,                  0.952,                0.99723,                      1,                0.99467,                0.99032,                0.21146,                0.21178,                0.83536,               0.000614,               0.000614,               0.000614
                     72,                0.33802,                0.28485,                0.95992,                0.99726,                      1,                0.99474,                 0.9891,                0.22305,                0.22203,                0.84619,              0.0005942,              0.0005942,              0.0005942
                     73,                0.35494,                0.29792,                0.97291,                0.99723,                      1,                0.99477,                0.99128,                0.20688,                0.21039,                0.83477,              0.0005744,              0.0005744,              0.0005744
                     74,                0.33159,                0.28068,                0.95585,                0.99722,                      1,                0.99461,                0.99134,                0.21088,                0.22191,                0.83608,              0.0005546,              0.0005546,              0.0005546
                     75,                0.32817,                0.27581,                0.95648,                0.99719,                      1,                0.99456,                0.98927,                0.21046,                 0.2189,                0.84156,              0.0005348,              0.0005348,              0.0005348
                     76,                0.33878,                0.28397,                 0.9655,                0.99723,                      1,                0.99464,                0.98878,                0.23399,                0.21849,                0.85157,               0.000515,               0.000515,               0.000515
                     77,                0.30588,                0.26305,                0.93489,                 0.9972,                      1,                0.99454,                0.99147,                 0.2072,                0.21078,                0.83557,              0.0004952,              0.0004952,              0.0004952
                     78,                0.33848,                0.28494,                 0.9585,                 0.9972,                      1,                 0.9947,                0.99025,                0.20404,                0.20802,                 0.8336,              0.0004754,              0.0004754,              0.0004754
