                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.63896,                0.50054,                 1.2186,                      1,                0.99477,                  0.995,                0.94887,                0.42063,                0.39147,                 1.0948,              0.0015842,              0.0015842,              0.0015842
                     23,                0.62189,                0.48879,                 1.2179,                0.99914,                      1,                  0.995,                0.92449,                0.47369,                0.37685,                 1.1074,              0.0015644,              0.0015644,              0.0015644
                     24,                 0.6191,                0.48499,                 1.2177,                0.99244,                0.99804,                0.99496,                0.91654,                 0.4775,                0.36837,                 1.1145,              0.0015446,              0.0015446,              0.0015446
                     25,                0.61525,                0.46556,                 1.2078,                0.99804,                0.99849,                  0.995,                0.89489,                  0.513,                0.37627,                 1.1239,              0.0015248,              0.0015248,              0.0015248
                     26,                0.65726,                0.47864,                  1.211,                0.99784,                      1,                  0.995,                0.91573,                0.48317,                0.35838,                 1.1001,               0.001505,               0.001505,               0.001505
                     27,                0.62811,                0.47491,                 1.1936,                0.99804,                0.99855,                  0.995,                0.91788,                 0.4128,                0.34396,                 1.0551,              0.0014852,              0.0014852,              0.0014852
                     28,                0.58135,                 0.4602,                 1.1833,                0.99905,                      1,                  0.995,                0.94648,                0.38697,                0.33067,                 1.0329,              0.0014654,              0.0014654,              0.0014654
                     29,                0.58937,                0.46042,                 1.1887,                0.99783,                      1,                  0.995,                0.94391,                0.39915,                0.30802,                  1.024,              0.0014456,              0.0014456,              0.0014456
                     30,                0.56883,                 0.4332,                 1.1329,                0.99794,                      1,                  0.995,                0.94627,                0.41767,                0.32509,                 1.0292,              0.0014258,              0.0014258,              0.0014258
                     31,                0.55626,                0.43329,                 1.1555,                0.99812,                0.99804,                  0.995,                0.96803,                0.34044,                0.28606,                0.98682,               0.001406,               0.001406,               0.001406
                     32,                0.54867,                0.42808,                 1.1318,                0.99959,                      1,                  0.995,                0.96306,                 0.3473,                0.29435,                0.99344,              0.0013862,              0.0013862,              0.0013862
                     33,                0.56605,                0.43076,                 1.1575,                0.99773,                      1,                  0.995,                0.95359,                0.37107,                 0.3028,                 1.0057,              0.0013664,              0.0013664,              0.0013664
                     34,                0.51406,                0.39685,                 1.1233,                0.99976,                      1,                  0.995,                0.97168,                0.31547,                0.28127,                0.96916,              0.0013466,              0.0013466,              0.0013466
                     35,                0.53222,                0.41303,                 1.1297,                 0.9998,                      1,                  0.995,                0.95411,                0.32826,                0.29759,                  0.984,              0.0013268,              0.0013268,              0.0013268
                     36,                 0.5139,                 0.4015,                 1.1257,                0.99982,                      1,                  0.995,                0.96603,                0.32615,                0.28226,                0.96766,               0.001307,               0.001307,               0.001307
                     37,                0.52237,                0.40944,                 1.1298,                0.99964,                      1,                  0.995,                0.96642,                0.34781,                0.28937,                0.97949,              0.0012872,              0.0012872,              0.0012872
                     38,                0.48927,                0.38388,                  1.098,                0.99944,                      1,                  0.995,                0.96423,                0.33587,                0.27574,                0.97585,              0.0012674,              0.0012674,              0.0012674
                     39,                0.50751,                0.40479,                 1.1104,                 0.9998,                      1,                  0.995,                 0.9691,                0.32682,                0.28192,                0.96132,              0.0012476,              0.0012476,              0.0012476
                     40,                0.51554,                0.39254,                 1.1021,                0.99985,                      1,                  0.995,                0.95002,                0.35498,                0.28523,                0.98019,              0.0012278,              0.0012278,              0.0012278
                     41,                0.47832,                0.37467,                 1.0958,                0.99932,                      1,                  0.995,                0.97796,                0.26193,                0.25616,                0.92564,               0.001208,               0.001208,               0.001208
                     42,                0.48792,                0.37616,                 1.1094,                0.99968,                      1,                  0.995,                0.98105,                0.25637,                0.24282,                0.91813,              0.0011882,              0.0011882,              0.0011882
                     43,                0.47602,                0.38169,                 1.0827,                0.99796,                      1,                  0.995,                0.97347,                0.28129,                 0.2501,                0.93465,              0.0011684,              0.0011684,              0.0011684
                     44,                0.48644,                0.38757,                 1.0928,                0.99982,                      1,                  0.995,                0.97311,                0.28543,                 0.2492,                0.93389,              0.0011486,              0.0011486,              0.0011486
                     45,                0.47584,                  0.368,                 1.0854,                0.99949,                      1,                  0.995,                0.97833,                0.26769,                0.24211,                0.93475,              0.0011288,              0.0011288,              0.0011288
                     46,                0.44905,                0.36242,                 1.0552,                0.99987,                      1,                  0.995,                0.98303,                0.26659,                0.24034,                0.92346,               0.001109,               0.001109,               0.001109
                     47,                0.44761,                0.36095,                 1.0725,                0.99984,                      1,                  0.995,                0.97426,                0.26496,                0.24148,                 0.9267,              0.0010892,              0.0010892,              0.0010892
                     48,                0.43103,                0.34847,                 1.0524,                0.99951,                      1,                  0.995,                0.97782,                0.26819,                0.24617,                0.92153,              0.0010694,              0.0010694,              0.0010694
                     49,                0.47288,                 0.3691,                 1.0851,                0.99982,                      1,                  0.995,                0.97079,                0.31523,                0.25294,                0.94735,              0.0010496,              0.0010496,              0.0010496
                     50,                0.45231,                 0.3547,                 1.0652,                0.99982,                      1,                  0.995,                0.97807,                0.25814,                0.24012,                0.91806,              0.0010298,              0.0010298,              0.0010298
                     51,                0.48746,                 0.3771,                 1.0762,                0.99983,                      1,                  0.995,                0.98213,                0.26192,                 0.2315,                0.89887,                0.00101,                0.00101,                0.00101
                     52,                0.45865,                0.35359,                  1.059,                0.99976,                      1,                  0.995,                0.98369,                0.26729,                0.23542,                0.92127,              0.0009902,              0.0009902,              0.0009902
                     53,                0.44026,                0.34601,                 1.0598,                0.99985,                      1,                  0.995,                0.98341,                0.22953,                0.21572,                0.89104,              0.0009704,              0.0009704,              0.0009704
                     54,                0.43194,                0.33994,                 1.0413,                0.99985,                      1,                  0.995,                0.98074,                 0.2456,                0.22684,                0.90055,              0.0009506,              0.0009506,              0.0009506
                     55,                0.42056,                0.33674,                 1.0406,                0.99986,                      1,                  0.995,                0.98441,                0.23524,                0.21807,                0.90301,              0.0009308,              0.0009308,              0.0009308
                     56,                0.44065,                0.35014,                 1.0743,                0.99986,                      1,                  0.995,                0.98553,                0.22187,                0.21097,                0.89026,               0.000911,               0.000911,               0.000911
                     57,                0.41925,                0.32369,                 1.0428,                0.99948,                      1,                  0.995,                0.98582,                0.23532,                0.21167,                0.90152,              0.0008912,              0.0008912,              0.0008912
                     58,                0.41401,                0.32252,                 1.0383,                0.99984,                      1,                  0.995,                0.98555,                0.25619,                0.21922,                0.89934,              0.0008714,              0.0008714,              0.0008714
                     59,                0.41582,                0.32947,                 1.0475,                0.99962,                      1,                  0.995,                0.97933,                0.26162,                0.22153,                0.90475,              0.0008516,              0.0008516,              0.0008516
                     60,                0.40077,                0.31668,                 1.0276,                0.99986,                      1,                  0.995,                0.98635,                0.22259,                0.20816,                 0.8851,              0.0008318,              0.0008318,              0.0008318
                     61,                0.40657,                0.32558,                 1.0418,                0.99975,                      1,                  0.995,                0.98895,                 0.1999,                0.20583,                0.88101,               0.000812,               0.000812,               0.000812
                     62,                0.39735,                0.31826,                 1.0313,                0.99987,                      1,                  0.995,                0.98683,                0.25452,                0.21782,                0.90109,              0.0007922,              0.0007922,              0.0007922
                     63,                0.40294,                 0.3225,                 1.0357,                0.99987,                      1,                  0.995,                0.98547,                0.21263,                0.19923,                0.88184,              0.0007724,              0.0007724,              0.0007724
                     64,                0.39679,                0.31218,                 1.0187,                0.99984,                      1,                  0.995,                0.98742,                0.24346,                 0.2218,                 0.8965,              0.0007526,              0.0007526,              0.0007526
                     65,                0.39618,                 0.3132,                 1.0192,                0.99987,                      1,                  0.995,                0.98767,                0.21908,                0.19541,                0.87538,              0.0007328,              0.0007328,              0.0007328
                     66,                0.39333,                0.31125,                 1.0224,                0.99981,                      1,                  0.995,                0.98832,                0.19675,                0.19169,                0.86473,               0.000713,               0.000713,               0.000713
                     67,                0.39105,                 0.3019,                 1.0193,                0.99983,                      1,                  0.995,                0.98902,                0.21784,                 0.2033,                0.87231,              0.0006932,              0.0006932,              0.0006932
                     68,                 0.3846,                 0.3057,                 1.0168,                0.99985,                      1,                  0.995,                0.98948,                 0.2011,                0.19658,                 0.8708,              0.0006734,              0.0006734,              0.0006734
                     69,                0.36823,                0.29776,                 1.0154,                0.99987,                      1,                  0.995,                0.98968,                0.19206,                  0.192,                0.86363,              0.0006536,              0.0006536,              0.0006536
                     70,                0.37089,                0.30416,                 1.0212,                0.99985,                      1,                  0.995,                0.98993,                0.19962,                 0.1948,                 0.8673,              0.0006338,              0.0006338,              0.0006338
                     71,                 0.3774,                0.30574,                  1.019,                0.99986,                      1,                  0.995,                0.98992,                0.20439,                0.19178,                0.86818,               0.000614,               0.000614,               0.000614
                     72,                0.36216,                0.29666,                0.99149,                0.99987,                      1,                  0.995,                0.98931,                0.20543,                0.19164,                0.86588,              0.0005942,              0.0005942,              0.0005942
                     73,                0.36188,                0.29904,                 1.0109,                0.99955,                      1,                  0.995,                0.98653,                0.20743,                0.19261,                0.86748,              0.0005744,              0.0005744,              0.0005744
                     74,                0.36041,                0.29337,                0.99667,                0.99985,                      1,                  0.995,                  0.991,                0.19727,                0.18946,                0.85783,              0.0005546,              0.0005546,              0.0005546
                     75,                0.38348,                0.30045,                 1.0151,                0.99986,                      1,                  0.995,                0.99231,                 0.1936,                0.18469,                0.86062,              0.0005348,              0.0005348,              0.0005348
                     76,                0.35011,                0.28109,                0.99986,                0.99986,                      1,                  0.995,                0.99041,                0.18489,                 0.1781,                0.85716,               0.000515,               0.000515,               0.000515
                     77,                0.35481,                0.28784,                0.99781,                0.99984,                      1,                  0.995,                0.98993,                0.19262,                0.17812,                0.85655,              0.0004952,              0.0004952,              0.0004952
                     78,                0.35909,                0.29402,                0.99233,                0.99984,                      1,                  0.995,                0.99249,                0.18357,                0.17958,                0.85203,              0.0004754,              0.0004754,              0.0004754
                     79,                0.33596,                0.27709,                0.98412,                0.99986,                      1,                  0.995,                0.99255,                0.17906,                0.17253,                0.85108,              0.0004556,              0.0004556,              0.0004556
                     80,                0.34818,                 0.2877,                 1.0078,                0.99985,                      1,                  0.995,                0.99031,                0.17266,                0.16959,                0.85025,              0.0004358,              0.0004358,              0.0004358
                     81,                0.33578,                0.27479,                0.99818,                0.99982,                      1,                  0.995,                0.98935,                0.17083,                0.16659,                0.85117,               0.000416,               0.000416,               0.000416
                     82,                0.34873,                0.28038,                 1.0045,                0.99986,                      1,                  0.995,                0.98915,                0.18062,                 0.1759,                0.85113,              0.0003962,              0.0003962,              0.0003962
                     83,                0.31957,                0.26779,                0.98182,                0.99987,                      1,                  0.995,                0.99071,                0.17509,                0.16873,                0.85155,              0.0003764,              0.0003764,              0.0003764
                     84,                0.33635,                0.27451,                0.98407,                0.99987,                      1,                  0.995,                0.99172,                0.16146,                0.16267,                0.84293,              0.0003566,              0.0003566,              0.0003566
                     85,                0.34201,                0.27274,                 0.9866,                0.99987,                      1,                  0.995,                0.99273,                0.19604,                 0.1719,                0.85485,              0.0003368,              0.0003368,              0.0003368
                     86,                0.33316,                0.26623,                0.98743,                0.99987,                      1,                  0.995,                0.99196,                0.16602,                0.16253,                0.84509,               0.000317,               0.000317,               0.000317
                     87,                0.32523,                0.26622,                0.98385,                0.99988,                      1,                  0.995,                0.99359,                0.15478,                0.15809,                0.83902,              0.0002972,              0.0002972,              0.0002972
                     88,                0.32051,                0.26267,                0.97323,                0.99987,                      1,                  0.995,                0.99215,                0.15862,                 0.1613,                0.83917,              0.0002774,              0.0002774,              0.0002774
                     89,                0.32449,                0.26585,                0.98972,                0.99987,                      1,                  0.995,                0.99242,                0.14889,                0.15425,                0.83596,              0.0002576,              0.0002576,              0.0002576
                     90,                0.30579,                0.25663,                0.95708,                0.99987,                      1,                  0.995,                0.98991,                 0.1655,                0.15757,                0.84305,              0.0002378,              0.0002378,              0.0002378
                     91,                0.21011,                0.19849,                0.85335,                0.99987,                      1,                  0.995,                0.99264,                 0.1615,                0.16137,                0.83263,               0.000218,               0.000218,               0.000218
                     92,                0.19668,                0.18912,                0.84283,                0.99987,                      1,                  0.995,                0.99232,                0.17229,                0.16293,                0.83888,              0.0001982,              0.0001982,              0.0001982
                     93,                0.19715,                 0.1895,                 0.8574,                0.99988,                      1,                  0.995,                0.99331,                0.14975,                0.15522,                0.82998,              0.0001784,              0.0001784,              0.0001784
                     94,                0.18342,                0.17867,                0.83744,                0.99988,                      1,                  0.995,                0.99344,                0.15684,                0.15823,                0.83128,              0.0001586,              0.0001586,              0.0001586
                     95,                0.17686,                0.17236,                0.83787,                0.99988,                      1,                  0.995,                0.99395,                0.15085,                0.15504,                0.82635,              0.0001388,              0.0001388,              0.0001388
                     96,                0.17877,                0.16958,                0.83685,                0.99988,                      1,                  0.995,                 0.9938,                 0.1345,                0.14327,                0.82055,               0.000119,               0.000119,               0.000119
                     97,                0.17538,                0.17082,                0.83294,                0.99988,                      1,                  0.995,                 0.9945,                0.13468,                0.14379,                0.82088,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.17037,                0.16853,                0.83466,                0.99987,                      1,                  0.995,                0.99416,                0.13497,                0.14357,                0.82045,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.16858,                0.16161,                0.81415,                0.99988,                      1,                  0.995,                0.99418,                0.13262,                0.14148,                 0.8194,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.1608,                0.15985,                  0.827,                0.99988,                      1,                  0.995,                0.99419,                0.12878,                0.14076,                0.81961,               3.98e-05,               3.98e-05,               3.98e-05
