                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9229,                 3.6625,                 4.1714,                0.00365,                 0.7456,                 0.0079,                 0.0021,                 2.5842,                 3.8413,                  4.161,                0.00062,                0.00062,                0.00062
                      2,                 2.5583,                 2.7529,                 3.5081,                0.00362,                0.73386,                0.00736,                0.00191,                 2.6269,                 3.7288,                 4.2669,              0.0012475,              0.0012475,              0.0012475
                      3,                 2.1323,                 2.1647,                 2.8848,                0.25393,                0.27789,                0.16607,                0.08036,                 2.3587,                 3.3818,                 3.6603,              0.0018624,              0.0018624,              0.0018624
                      4,                 1.8192,                 1.7996,                 2.5083,                0.80438,                0.70008,                0.80384,                0.36358,                 2.2347,                 2.0525,                 2.9863,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5881,                 1.5681,                 2.2326,                 0.8586,                0.81995,                0.86382,                0.47012,                 1.8999,                 2.1278,                 2.9992,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4289,                 1.3295,                 2.0534,                 0.9129,                  0.923,                0.97639,                0.67643,                  1.263,                 1.1259,                 1.9732,               0.001901,               0.001901,               0.001901
                      7,                 1.2108,                 1.1257,                 1.8593,                0.98503,                0.90154,                0.96617,                0.74213,                  1.091,                  1.107,                 1.7442,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0961,                0.98693,                 1.7123,                0.93578,                 0.9589,                0.98839,                0.70604,                 1.1537,                 1.0405,                 1.9202,              0.0018614,              0.0018614,              0.0018614
                      9,                0.98422,                0.89048,                  1.618,                0.98571,                0.94508,                0.98461,                0.81769,                0.74647,                0.72613,                 1.4683,              0.0018416,              0.0018416,              0.0018416
                     10,                0.95197,                0.83856,                 1.5427,                0.89623,                0.94129,                0.97788,                 0.6935,                 1.1687,                0.90348,                 1.7569,              0.0018218,              0.0018218,              0.0018218
                     11,                0.92973,                0.77956,                  1.518,                0.98627,                0.98427,                0.99459,                0.81414,                0.78211,                 0.6229,                 1.4249,               0.001802,               0.001802,               0.001802
                     12,                0.92044,                0.75276,                 1.4921,                0.99803,                0.98961,                0.99496,                 0.7254,                 1.0644,                0.67987,                  1.709,              0.0017822,              0.0017822,              0.0017822
                     13,                0.88929,                0.69588,                 1.4548,                0.99205,                 0.9763,                0.99446,                 0.8372,                0.66464,                0.63192,                 1.3386,              0.0017624,              0.0017624,              0.0017624
                     14,                0.82401,                0.65806,                 1.3988,                 0.9873,                0.97847,                0.99435,                 0.8554,                0.63703,                0.55992,                 1.2885,              0.0017426,              0.0017426,              0.0017426
                     15,                0.81571,                0.65166,                 1.4101,                0.99657,                      1,                  0.995,                0.88858,                0.55138,                0.46805,                 1.2666,              0.0017228,              0.0017228,              0.0017228
                     16,                0.73976,                0.60142,                 1.3306,                0.97676,                0.98696,                0.99378,                0.85901,                0.59628,                0.50247,                 1.2503,               0.001703,               0.001703,               0.001703
                     17,                0.75468,                0.59586,                 1.3141,                      1,                 0.9941,                  0.995,                0.88615,                0.53948,                0.44118,                 1.2005,              0.0016832,              0.0016832,              0.0016832
                     18,                0.73869,                0.58073,                 1.3089,                 0.9983,                0.99022,                  0.995,                0.92352,                0.44548,                0.40907,                 1.1382,              0.0016634,              0.0016634,              0.0016634
                     19,                0.70786,                0.54616,                 1.2889,                0.99804,                0.99859,                  0.995,                0.89493,                0.50257,                 0.4138,                 1.1789,              0.0016436,              0.0016436,              0.0016436
                     20,                0.68574,                0.54508,                 1.2597,                0.98455,                0.99773,                0.99482,                0.90486,                 0.4888,                0.41802,                 1.1359,              0.0016238,              0.0016238,              0.0016238
                     21,                0.67798,                0.52937,                 1.2507,                0.99899,                      1,                  0.995,                 0.9201,                0.44704,                 0.3816,                 1.0973,               0.001604,               0.001604,               0.001604
